"record_id","date","document_type","title_or_function","issuer_or_actor","court_or_forum","proceeding","source_system","source_locator","pages","complete_copy","annex_status","operative_or_evidential_effect","conditions_or_limits","asset_scope","evidence_label","retrieval_priority"
"E052","2022-01-31","Diligencia de ordenación","Receipt of 25 January AC report","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 17ebb618b0608771; Adjunto1(74).pdf","1","yes","none indicated","Receives report, transfers it to personated parties and makes it available to others","Does not adopt every reported fact; reposición available","Liquidation status","PROVEN BY PRIMARY DOCUMENT","controlled"
"E053","2022-02-11","Reported LAJ act","Separate act in testimony/finality chain","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; appeal/finality register","unknown","no","original, service and exact effect absent","Repository register identifies a separate act later challenged","Secondary locator only; cannot infer exact finality effect","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E054","2022-02-14","Diligencia de ordenación","CAM testimony request and court-office finality treatment","LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 194a98a11920fefd; 20220214 DIOR Entrega TESTIMONIO 3 CAM.pdf","1","yes","complete testimony and later challenge/review pack absent","Orders testimony of 18 May, 15 October confirmation and 26 January clarification, stating finality","Not disposition or condition-performance proof; later docket leads show review continued through July","Judicial approval testimony","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; terminal finality P0"
"E055","2022-02-21","Public deed 457","Dación implementation","AC Francisco de Borja Rodríguez-Batllori Laffitte for LPB; Laura Patricia Acosta Matos for CAM; Notary José del Cerro Peñalver","Notarial","Implementation of Concurso 36/2012 orders","Gmail","message 18ab89a1775e61b3; Escritura de Adjudicacion a CAM 21FEB2022.pdf; duplicate message 18f6ed9bab25f193, Doc35 escritura venta.pdf","76","yes","post-deed court, registry and accounting pack absent","Declares conveyance of 159 scheduled LPB fincas; states €13,168,082.02 debt consideration; traditio on deed date; requests cancellation","AC to report in five natural days; deed does not prove final allowed debt, third-party title, charge cancellation, locales branch or surplus performance","159 scheduled LPB apartment fincas only","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; implementation P0"
"E056","2022-03-09","Reported Auto","Inadmit appeals against 15 October autos","Judge/court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; appeal/finality register","unknown","no","original, applications and service absent","Repository register identifies an inadmission ruling","Secondary locator only; exact effect and downstream review cannot be inferred","Approval/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E057","2022-04-26","Reported Decreto","Dismiss reposición against 11 February act","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; appeal/finality register","unknown","no","original, service and review pack absent","Repository register identifies dismissal of one reposición","Distinct from same-date decree on 14 Feb act; terminal effect unproved","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E058","2022-04-26","Reported Decreto","Dismiss reposición against 14 February act","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; appeal/finality register","unknown","no","original, service and review pack absent","Repository register identifies dismissal of a separate reposición","Distinct from same-date decree on 11 Feb act; terminal effect unproved","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E059","2022-05-06","Nota simple","Finca 8751 title and charge state","Registro de la Propiedad de Tías","Land Registry","Finca 8751; CRU 35019000363400","Gmail","message 18cff447871fa30f; 11. 2022FEB21 Land Registry Certification of Transfer of Title to CAM SL and charges to CAM SA.pdf; registry secure-verification code withheld","5","yes","later art. 225 certification and cancellation history absent","Shows CAM 100 percent title by Protocol 457; mortgage remains under CARGAS; records SAREB to PH122 to CAM chain","Informative note only; not proof of clean title or every finca","One sampled LPB finca","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; later certification P0"
"E060","2022-06-16","Reported Providencia family","Initial inadmission of Aweswell review request(s)","Judge/court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality registers","unknown","no","primary providencia(s), service and applications absent","Registers say review request(s) were initially inadmitted for supposed missing deposits","Secondary locator only; exact number/text/effect cannot be inferred and the step was reportedly annulled 13 Jul","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E061","2022-06-20","Reported Diligencia","Deposit/error identification and ex officio nullity routing","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality registers","unknown","no","primary act, deposits and service absent","Register says deposits were identified, possible error recorded and an ex officio nullity piece opened","Secondary locator only; no merits or terminal finality inference","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E062","2022-06-20","Reported Providencia","Hearing of parties on ex officio nullity","Judge/court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality registers","unknown","no","primary act, submissions and service absent","Register says parties were given time to address nullity","Secondary locator only; separate from same-date LAJ act","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E063","2022-07-13","Reported Auto","Nullity of 16 June providencia","Judge/court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality registers","unknown","no","primary auto, submissions and service absent","Register says the 16 Jun providencia was declared null/not issued while remaining proceedings were preserved","Secondary locator only; exact operative text and remedies unknown","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E064","2022-07-14","Reported Diligencia","Admission of Aweswell review request(s)","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality registers","unknown","no","primary act, review requests and service absent","Register says Aweswell review request(s) were admitted after correction of the deposit error","Secondary locator only; terminal decision absent","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E065","2022-07-21","Reported Diligencia","Nullity/review procedural routing","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality register","unknown","no","primary act and service absent","Register identifies a further LAJ routing event","Secondary locator only; exact effect cannot be inferred","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E066","2022-07-26","Reported Diligencia","Nullity/review procedural routing","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality register","unknown","no","primary act and service absent","Register identifies a further LAJ routing event","Secondary locator only; exact effect cannot be inferred","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E067","2022-07-27","Reported Diligencia","Nullity/review procedural routing","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality register","unknown","no","primary act and service absent","Register identifies a further LAJ routing event","Secondary locator only; exact effect cannot be inferred","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E068","2022-07-28","Reported Diligencia","Submission of review file to judge","LAJ/court office","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; docket/finality registers","unknown","no","primary act and terminal judicial decision absent","Register says file was put before the judge for resolution","Secondary locator only; ultimate finality cannot be declared","Testimony/finality procedure","DOCUMENT NOT YET LOCATED","P0"
"E069","2022-11-16","BORME notice","CAM to HNT segregation announcement","CAM and Hotel New Trend corporate bodies","BORME","Boards reportedly approved 30 Oct 2022","Official web","https://www.boe.es/diario_borme/txt.php?id=BORME-C-2022-7271","1","yes","segregation project, deed and registry schedule absent","Announces approval of in-block universal succession of described Sun Park economic unit to HNT","Notice does not prove execution, registration or CAM title to every third-party asset","Stated economic unit; exact perimeter unresolved","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","P0 underlying project"
"E070","2023-09-28","Sentencia 163/2023","First-instance culpability judgment","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, culpability section","Google Drive","Google Drive; restricted source locator withheld; misleading filename AUTO_CONCURSO_CULPOSO","27","yes","appeal/finality record absent","Civil-insolvency culpability findings; records passive €9,469,157.93 and specially secured €9,052,251.69","Not criminal conviction; not final without appeal record; no retrospective title cure","Control and debt history","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","P1 appeal"
"E071","unknown","Auto or decreto","Conclusion or termination of insolvency","Court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Court file","not located","unknown","no","final accounts, rendition and distribution records absent","Unknown","Cannot presume conclusion, surplus disposition or final accounting","Entire concurso","DOCUMENT NOT YET LOCATED","P0"
"E072","unknown","Secondary research dataset","Additional Matkator title leads: fincas 8497, 8498 and 8587","Repository researchers","Por Derecho evidential index","Concurso 36/2012 / Sun Park asset crosswalk","Repository","commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; research/sun-park-262-fincas/sun-park-262-fincas.csv; acquisition-overlay.csv; README.md; manifest.json","n/a","yes","underlying deeds and certified Registry histories absent","Historical row labels 8587 MATKATOR SL - M LLORENS; working overlay marks 8497, 8498 and 8587 En Propiedad; later pleading lead questions 8497/8498 registration","Secondary leads only; do not prove owner, physical unit, transfer, or current operator; all three are absent from Annex II enumerations","Fincas 8497, 8498 and 8587","UNRESOLVED","P0 certified Registry/deed chains"
